ingredient,volume,mass,s_unit,price,notes
maple syrup,1 liter,,,12.49,"costco, organic"
almond butter,,765 g,,13.99,"costco, organic"
peanut butter,,1.59 kg,,11.49,"costco, organic"
black bean,,,1 can,1,"costco, S&W, organic"
tomato paste,,2.04 kg,,7.49,"costco, organic"
turmeric,,680 g,,16.99,costco
cumin,,396 g,,6.49,"costco, McCormick"
italian seasoning,,117 g,,4.99,"costco, McCormick"
salt,,850 g,,2.99,costco
grapeseed oil,2 L,,,8.92,"costco, Ottavio"
cashew,,1.13 kg,,20.49,"costco, organic"
almond,,1.36 kg,,12.79,costco
pecan,,908 g,,13.49,costco
walnut,,3 lbs,,12.99,costco
cashew,,1.13 kg,,15.99,costco
almond butter,,765 g,,8.99,costco
