Big Matt Salad,,,
12,,,
number,unit,ingredient,notes
3,cup,cashew,raw
0.75,cup,tomato paste,
0.75,cup,maple syrup,
0.75,cup,vinegar,white
1.5,cup,apple cider vinegar,
0.75,cup,vegetable broth,
0.75,cup,liquid amino,
1.5,cup,tahini,
4.5,cup,water,
4,tbsp,garlic powder,
2,tbsp,onion powder,
2,tbsp,paprika,not smoked
2,tbsp,salt,
2,tbsp,ground mustard,
,,,
12,can,lentil,
1.5,cup,vegetable broth,
0.75,cup,water,
4,tbsp,tomato paste,
2,tbsp,liquid amino,
0.75,cup,nutritional yeast,
2,tbsp,garlic powder,
2,tbsp,onion powder,
1,tbsp,ground mustard,
1,tbsp,salt,
1.5,tsp,pepper,
