Vegan Bolognase Sauce,,,
6,,,
number,unit,ingredient,notes
12,cup,riced cauliflower,
6,cup,diced mushroom,
1.5,cup,walnut,superfinely chopped
12,tbs,tamari,
6,tbs,italian seasoning,
12,tsp,paprika,
12,cup,onion,finely diced
319,gram,celery,finely diced
438,gram,carrot,shredded
132,gram,garlic,minced
6,cup,red wine,
168,oz,canned tomato,
36,oz,tomato paste,
6,cup,soy milk,
1.5,cup,basil,
6,tbs,oregano,
6,tsp,sage,
1.5,tsp,salt,
1.5,tsp,pepper,
1.5,tsp,red pepper flakes,
1.5,tsp,nutmeg,
12,tbs,nutritional yeast,
