Mini Frittatas,,,
11.5,,,
number,unit,ingredient,notes
400,gram,red potato,"skin on, finely diced"
200,gram,onion,finely diced
200,gram,bell pepper,finely diced
200,gram,zucchini,finely diced
4,clove,garlic,minced
200,gram,cherry tomato,quartered
0.25,tsp,red pepper flake,
,,"salt, pepper",to taste
,,,
1,container,extra firm tofu,16oz container
1,container,firm tofu,16oz container
1,cup,soy milk,
2,tbsp,corn starch,
6,tbsp,nutritional yeast,
1,tsp,mustard powder,
1,tsp,thyme,
1,tsp,marjoram,
1,tsp,basil,
1,tsp,garlic powder,
1,tsp,onion powder,
1,tsp,salt,
0.5,tsp,turmeric,
0.25,tsp,black pepper,
