Big Matt Salad
14.0,
ingredient,number,notes
cashew,537.2 gram,raw
tomato paste,231.0 gram,
maple syrup,283.6 gram,
vinegar,0.75 cup 2.0 tablespoon,white
apple cider vinegar,505.1 gram,
vegetable broth,168.0 gram,
liquid amino,238.0 gram,
tahini,392.0 gram,
water,1242.1 gram,
garlic powder,37.3 gram,
onion powder,22.2 gram,
paprika,16.3 gram,not smoked
salt,2.3 tablespoon,
ground mustard,2.3 tablespoon,
,,
lentil,14.0 can,
vegetable broth,336.0 gram,
water,207.0 gram,
tomato paste,77.0 gram,
liquid amino,39.7 gram,
nutritional yeast,52.5 gram,
garlic powder,18.7 gram,
onion powder,22.2 gram,
ground mustard,3.5 teaspoon,
salt,3.5 teaspoon,
pepper,4.1 gram,
