Lasagna
40.0,6 lasagna per serving
ingredient,number,notes
crushed tomato,80.0 can,28oz can
water,9463.5 gram,swished around the cans
garlic,560.0 clove,thinly sliced
red pepper flake,93.3 gram,
salt,0.75 cup 1.3 tablespoon,IF tomatoes unsalted
salt,1.5 cup 2.7 tablespoon,If tomatoes NOT salted
oregano,20.0 gram,
basil,80.0 sprig,
,,
lemon juice,1218.4 gram,
almond,9.0 liter 1.75 cup 3.3 tablespoon,blanched
nutritional yeast,150.0 gram,
tofu,20.0 block,firm
salt,0.25 cup 2.7 tablespoon,
garlic powder,,
water,4731.8 gram,
spinach,9071.8 gram,
