Soy Curl Chorizo
40.0,20x recipe makes 828g
ingredient,number,notes
chili powder,91.7 gram,
garlic powder,53.3 gram,
oregano,13.3 gram,
paprika,31.1 gram,
cumin,33.3 gram,
thyme,2.2 tablespoon,
onion powder,21.1 gram,
coriander,11.1 gram,
pepper,7.8 gram,
cinnamon,7.8 gram,
allspice,1.7 teaspoon,
cayenne,4.4 gram,
turmeric,5.0 gram,
,,
soy curl crumb,2.0 liter 3.0 cup 3.4 tablespoon,
vegetable broth,2560.0 gram,boiling
vegetable oil,0.75 cup 1.3 tablespoon,
tomato paste,330.0 gram,
soy sauce,1.25 cup,
apple cider vinegar,300.7 gram,
liquid smoke,,
salt,,
