Mini Frittatas
13.0,3 frittatas per serving
ingredient,number,notes
red potato,684.2 gram,"skin on, finely diced"
onion,342.1 gram,finely diced
bell pepper,342.1 gram,finely diced
zucchini,342.1 gram,finely diced
garlic,6.8 clove,minced
cherry tomato,342.1 gram,quartered
red pepper flake,1.0 gram,
"salt, pepper",,to taste
,,
extra firm tofu,1.7 container,16oz container
firm tofu,1.7 container,16oz container
soy milk,355.8 gram,
corn starch,34.2 gram,
nutritional yeast,38.5 gram,
mustard powder,1.7 teaspoon,
thyme,1.7 teaspoon,
marjoram,1.7 teaspoon,
basil,1.1 gram,
garlic powder,4.6 gram,
onion powder,5.4 gram,
salt,1.7 teaspoon,
turmeric,2.6 gram,
black pepper,0.4 teaspoon,
