Roma Stew
19.0,
ingredient,number,notes
onion,501.6 gram,chopped
carrot,2.25 cup 1.4 teaspoon,chopped
parsnips,2.25 cup 1.4 teaspoon,chopped
celery,1.0 liter 0.25 cup 1.3 tablespoon,chopped
,,
mushroom,2.0 liter 0.5 cup 2.7 tablespoon,chopped
red potato,2.0 liter 0.5 cup 2.7 tablespoon,"chopped, skin on"
,,
dried thyme,2.3 gram,
dried rosemary,2.3 teaspoon,
dried marjoram,2.3 teaspoon,
,,
brown rice flour,1.0 cup 2.2 tablespoon,
,,
vegetable broth,3064.3 gram,
red wine,1.0 cup 2.2 tablespoon,
dried mushroom,64.6 gram,ground
split red lentil,2.25 cup 1.4 teaspoon,
liquid amino,310.1 gram,
