Big Matt Salad
12.0,
ingredient,number,notes
cashew,460.5 gram,raw
tomato paste,198.0 gram,
maple syrup,243.1 gram,
vinegar,0.75 cup,white
apple cider vinegar,433.0 gram,
vegetable broth,144.0 gram,
liquid amino,204.0 gram,
tahini,336.0 gram,
water,1064.6 gram,
garlic powder,32.0 gram,
onion powder,19.0 gram,
paprika,14.0 gram,not smoked
salt,6.0 teaspoon,
ground mustard,6.0 teaspoon,
,,
lentil,12.0 can,
vegetable broth,288.0 gram,
water,177.4 gram,
tomato paste,66.0 gram,
liquid amino,34.0 gram,
nutritional yeast,45.0 gram,
garlic powder,16.0 gram,
onion powder,19.0 gram,
ground mustard,3.0 teaspoon,
salt,3.0 teaspoon,
pepper,3.5 gram,
