Chicken Shawarma
26.0,
ingredient,number,notes
red onion,13.0 piece,thinly sliced
vinegar,1.0 liter 2.25 cup 1.1 teaspoon,white
salt,0.75 cup 1.0 tablespoon,
sugar,182.0 gram,
water,2050.4 gram,
,,
soy curl,520.0 gram,
water from soy curls,0.25 cup 1.0 teaspoon,
bouillon paste,0.5 cup 2.0 teaspoon,
apple cider vinegar,78.2 gram,
salt,0.25 cup 1.0 teaspoon,
garlic powder,34.7 gram,
onion powder,41.2 gram,
cumin,32.5 gram,
oregano,13.0 gram,
turmeric,19.5 gram,
pepper,15.2 gram,
vegetable oil,0.75 cup 1.0 tablespoon,
