Bang Bang Bowl
31.0,
ingredient,number,notes
black rice,2.0 liter 0.75 cup 1.5 tablespoon,uncooked
,,
mushroom,4218.4 gram,
liquid amino,210.8 gram,
nutritional yeast,23.3 gram,
,,
cucumber,4.7 piece,sliced
pepper,6.2 piece,sliced
,,
extra firm tofu,6.2 block,
sriracha,210.8 gram,
liquid amino,210.8 gram,
garlic powder,33.1 gram,
,,
red cabbage,0.8 piece,shredded
radish,3.1 bunch,sliced
mango,7.8 piece,sliced
carrot,18.6 piece,sliced
green onion,1.6 bunch,sliced
sesame seed,,roasted
,,
chili powder,7.1 gram,
turmeric,14.0 gram,
salt,2.3 teaspoon,
lime juice,0.25 cup 2.0 teaspoon,
dried coconut flake,404.6 gram,

