Thai Quinoa Salad with Peanut Sauce
29.0,
ingredient,number,notes
quinoa,1160.0 gram,
red cabbage,2.0 liter 2.25 cup 2.7 tablespoon,shredded
carrot,7.3 piece,chopped
bell pepper,7.3 piece,
green onion,14.5 piece,
cilantro,116.0 gram,
cashew,556.4 gram,roasted
edamame,2.75 cup 2.4 tablespoon,
cucumber,2.75 cup 2.4 tablespoon,chopped
broccoli,2.75 cup 2.4 tablespoon,
,,
kale,870.0 gram,shredded
red cabbage,580.0 gram,shredded
carrot,435.0 gram,shredded
peanut sauce,5.9 teaspoon,
,,
peanut sauce,29.0 piece,4 oz container
