Creamy Potato & Kale Soup
90,
number_unit,ingredient,notes
7200.0 gram,onion,diced
3600.0 gram,celery,diced
,,
126.0 clove,garlic,
88.7 milliliter,salt,
3.0 tablespoon,pepper,
88.7 milliliter,thyme,
3.0 tablespoon,dried marjoram,
3.0 tablespoon,dried rosemary,
,,
28800.0 gram,potato,"peeled, diced"
20736.0 gram,vegetable broth,
532.3 milliliter,dried parsley,
1080.0 gram,nutritional yeast,
1800.0 gram,kale,confetti sliced
2520.0 gram,raw cashew,soaked
3744.0 gram,coconut milk,from a box
3.0 tablespoon,red pepper flake,
