Mini Frittatas
90,
number_unit,ingredient,notes
1565.2 gram,red potato,"skin on, finely diced"
782.6 gram,onion,finely diced
782.6 gram,bell pepper,finely diced
782.6 gram,zucchini,finely diced
15.7 clove,garlic,minced
782.6 gram,cherry tomato,quartered
1.0 teaspoon,red pepper flake,
nan nan,"salt, pepper",to taste
,,
3.9 container,extra firm tofu,16oz container
3.9 container,firm tofu,16oz container
813.9 gram,soy milk,
78.2 gram,corn starch,
88.1 gram,nutritional yeast,
1.3 tablespoon,mustard powder,
1.3 tablespoon,thyme,
1.3 tablespoon,marjoram,
1.3 tablespoon,basil,
1.3 tablespoon,garlic powder,
1.3 tablespoon,onion powder,
1.3 tablespoon,salt,
2.0 teaspoon,turmeric,
1.0 teaspoon,black pepper,
