Soy Curl Chorizo
60.0,
ingredient,number,notes
chili powder,137.5 gram,
garlic powder,80.0 gram,
oregano,20.0 gram,
paprika,46.7 gram,
cumin,50.0 gram,
thyme,3.3 tablespoon,
onion powder,31.7 gram,
coriander,16.7 gram,
pepper,11.7 gram,
cinnamon,11.7 gram,
allspice,2.5 teaspoon,
cayenne,6.7 gram,
turmeric,7.5 gram,
,,
soy curl crumb,4.0 liter 0.5 cup 1.5 tablespoon,
vegetable broth,3840.0 gram,boiling
vegetable oil,1.25 cup,
tomato paste,495.0 gram,
soy sauce,1.75 cup 2.0 tablespoon,
apple cider vinegar,451.0 gram,
liquid smoke,,
salt,,
