number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
3.2399999999999998,gram,chili powder,,3.2399999999999998 gram,5.226449224499998 milliliter,3.2399999999999998 gram
12.15,gram,turmeric,,12.15 gram,19.96213245468749 milliliter,12.15 gram
1.8900000000000001,tsp,salt,,1.8900000000000001 teaspoon,9.315661812187498 milliliter,
0.216,cup,lime juice,,0.216 cup,51.10305908399999 milliliter,52.70400000000001 gram
351.0,gram,coconut flake,dry,351.0 gram,,351.0 gram
,,,,,,
4050.0,gram,black rice,cooked,4050.0 gram,,4050.0 gram
,,,,,,
1080.0,gram,mushroom,,1080.0 gram,,1080.0 gram
54.0,gram,liquid amino,,54.0 gram,46.969723422794104 milliliter,54.0 gram
5.94,gram,nutritional yeast,,5.94 gram,23.422235413499994 milliliter,5.94 gram
,,,,,,
3.2399999999999998,block,extra firm tofu,,,,
108.0,gram,sriracha,,108.0 gram,93.93944684558821 milliliter,108.0 gram
108.0,gram,liquid amino,,108.0 gram,93.93944684558821 milliliter,108.0 gram
17.28,gram,garlic powder,,17.28 gram,31.939411927499993 milliliter,17.28 gram
,,,,,,
1080.0,gram,cucumber,mandolined,1080.0 gram,,1080.0 gram
810.0,gram,bell pepper,strips,810.0 gram,,810.0 gram
540.0,gram,red cabbage,food processed,540.0 gram,,540.0 gram
405.0,gram,radish,sliced,405.0 gram,,405.0 gram
810.0,gram,mango,sliced,810.0 gram,,810.0 gram
810.0,gram,carrot,mandolined,810.0 gram,,810.0 gram
810.0,gram,edamame,,810.0 gram,,810.0 gram
,,,,,,
,,green onion,,,,
,,sesame seed,,,,
