number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
10.0,cup,cashew,raw,10.0 cup,2365.8823649999995 milliliter,1535.0 gram
2.5,cup,tomato paste,,2.5 cup,591.4705912499999 milliliter,660.0000000000001 gram
2.5,cup,maple syrup,,2.5 cup,591.4705912499999 milliliter,810.3147100124999 gram
2.5,cup,vinegar,white,2.5 cup,591.4705912499999 milliliter,567.8117675999998 gram
5.0,cup,apple cider vinegar,,5.0 cup,1182.9411824999997 milliliter,1443.1882426499994 gram
2.5,cup,vegetable broth,,2.5 cup,591.4705912499999 milliliter,479.99999999999994 gram
2.5,cup,liquid amino,,2.5 cup,591.4705912499999 milliliter,680.0 gram
5.0,cup,tahini,,5.0 cup,1182.9411824999997 milliliter,1120.0 gram
14.999999999999998,cup,water,,14.999999999999998 cup,3548.8235474999988 milliliter,3548.8235474999988 gram
13.333333333333332,tbsp,garlic powder,,13.333333333333332 tablespoon,197.15686374999993 milliliter,106.66666666666666 gram
6.666666666666666,tbsp,onion powder,,6.666666666666666 tablespoon,98.57843187499996 milliliter,63.33333333333333 gram
6.666666666666666,tbsp,paprika,not smoked,6.666666666666666 tablespoon,98.57843187499996 milliliter,46.666666666666664 gram
6.666666666666666,tbsp,salt,,6.666666666666666 tablespoon,98.57843187499996 milliliter,
6.666666666666666,tbsp,ground mustard,,6.666666666666666 tablespoon,98.57843187499996 milliliter,
,,,,,,
40.0,can,lentil,,,,
5.0,cup,vegetable broth,,5.0 cup,1182.9411824999997 milliliter,959.9999999999999 gram
2.5,cup,water,,2.5 cup,591.4705912499999 milliliter,591.4705912499999 gram
13.333333333333332,tbsp,tomato paste,,13.333333333333332 tablespoon,197.15686374999993 milliliter,220.0 gram
6.666666666666666,tbsp,liquid amino,,6.666666666666666 tablespoon,98.57843187499996 milliliter,113.33333333333333 gram
2.5,cup,nutritional yeast,,2.5 cup,591.4705912499999 milliliter,150.0 gram
6.666666666666666,tbsp,garlic powder,,6.666666666666666 tablespoon,98.57843187499996 milliliter,53.33333333333333 gram
6.666666666666666,tbsp,onion powder,,6.666666666666666 tablespoon,98.57843187499996 milliliter,63.33333333333333 gram
3.333333333333333,tbsp,ground mustard,,3.333333333333333 tablespoon,49.28921593749998 milliliter,
3.333333333333333,tbsp,salt,,3.333333333333333 tablespoon,49.28921593749998 milliliter,
5.0,tsp,pepper,,5.0 teaspoon,24.64460796874999 milliliter,11.666666666666666 gram
