number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
6.933333333333334,head ,cauliflower,,,,
3.466666666666667,cup,soy milk,,3.466666666666667 cup,820.1725531999998 milliliter,721.0666666666667 gram
3.466666666666667,cup,chickpea flower,,3.466666666666667 cup,820.1725531999998 milliliter,
6.933333333333334,tbsp,nutritional yeast,,6.933333333333334 tablespoon,102.52156914999998 milliliter,26.000000000000004 gram
1.0833333333333335,tsp,onion powder,,1.0833333333333335 teaspoon,5.339665059895832 milliliter,3.430555555555556 gram
1.0833333333333335,tsp,garlic powder,,1.0833333333333335 teaspoon,5.339665059895832 milliliter,2.888888888888889 gram
,,,,,,
0.8666666666666667,container,coconut yogurt,,,,
5.2,cup,hot sauce,,5.2 cup,1230.2588297999996 milliliter,1539.2 gram
,,,,,,
9.533333333333333,cup,quinoa,,9.533333333333333 cup,2255.474521299999 milliliter,1906.6666666666667 gram
1.7333333333333334,piece,red cabbage,,,,
22.533333333333335,piece,celery,,,,
17.333333333333336,piece,carrot,,,,
8.666666666666668,pint,cherry tomato,,8.666666666666668 pint,4100.862765999999 milliliter,
