number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
8.57142857142857,tbsp,flax,,8.57142857142857 tablespoon,126.74369812499994 milliliter,,
25.71428571428571,tbsp,water,,25.71428571428571 tablespoon,380.2310943749999 milliliter,380.2310943749999 gram,
,,,,,,,
6.428571428571428,cup,oat flour,,6.428571428571428 cup,1520.9243774999995 milliliter,584.4155844155844 gram,
1.0714285714285712,cup,almond flour,,1.0714285714285712 cup,253.48739624999988 milliliter,,
1.0714285714285712,cup,brown rice flour,,1.0714285714285712 cup,253.48739624999988 milliliter,,
8.57142857142857,tsp,baking powder,,8.57142857142857 teaspoon,42.247899374999974 milliliter,41.142857142857125 gram,
4.285714285714285,tsp,cinnamon,,4.285714285714285 teaspoon,21.123949687499987 milliliter,9.999999999999998 gram,
2.1428571428571423,tsp,salt,,2.1428571428571423 teaspoon,10.561974843749994 milliliter,,
2.1428571428571423,cup,maple syrup,,2.1428571428571423 cup,506.97479249999975 milliliter,694.5554657249996 gram,
1.0714285714285712,cup,almond butter,,1.0714285714285712 cup,253.48739624999988 milliliter,274.2857142857142 gram,
8.57142857142857,tbsp,soy milk,,8.57142857142857 tablespoon,126.74369812499994 milliliter,111.4285714285714 gram,
4.285714285714285,tbsp,vanilla extract,,4.285714285714285 tablespoon,63.37184906249997 milliliter,64.00556755312496 gram,
6.428571428571428,cup,shredded coconut,,6.428571428571428 cup,1520.9243774999995 milliliter,,
1.4285714285714284,cup,chopped walnut,,1.4285714285714284 cup,337.98319499999985 milliliter,,
,,,,,,,
182.85714285714283,gram,powdered sugar,,182.85714285714283 gram,332.7834535384614 milliliter,182.85714285714283 gram,
42.857142857142854,gram,yogurt,unsweetened,42.857142857142854 gram,41.38569734693876 milliliter,42.857142857142854 gram,
0.7142857142857142,tsp,lemon juice,,0.7142857142857142 teaspoon,3.5206582812499985 milliliter,3.6262780296874983 gram,
