number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
15.866666666666667,can,chickpea,,,,,
17.0,piece,celery,chopped,,,,
30.599999999999998,piece,scallion,chopped,,,,
3.966666666666667,cup,pickle,chopped,3.966666666666667 cup,938.4666714499998 milliliter,,
2.55,cup,red pepper,chopped,2.55 cup,603.3000030749998 milliliter,,
1.7,cup,dill,chopped,1.7 cup,402.2000020499999 milliliter,,
0.85,cup,cashew,soaked,0.85 cup,201.10000102499995 milliliter,130.475 gram,
3.4,tbsp,water,,3.4 tablespoon,50.27500025624999 milliliter,50.27500025624999 gram,
1.275,pound,tofu,medium,1.275 pound,,578.3302717500001 gram,
3.4,tbsp,apple cider vinegar,,3.4 tablespoon,50.27500025624999 milliliter,61.33550031262498 gram,
5.666666666666666,tbsp,mustard,,5.666666666666666 tablespoon,83.79166709374996 milliliter,,
1.7,tsp,maple syrup,,1.7 teaspoon,8.379166709374998 milliliter,11.479458391843748 gram,
1.1333333333333333,tbsp,salt,,1.1333333333333333 tablespoon,16.758333418749995 milliliter,,
0.85,tsp,xantham gum,,0.85 teaspoon,4.189583354687499 milliliter,,
10.2,clove,garlic,pressed,,,,
10.2,tbsp,lemon juice,,10.2 tablespoon,150.82500076874996 milliliter,155.34975079181245 gram,
1.7,tsp,black pepper,,1.7 teaspoon,8.379166709374998 milliliter,,
