number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
1.9500000000000002,cup,walnut,,1.9500000000000002 cup,461.3470611749999 milliliter,234.00000000000003 gram,
1.9500000000000002,ounce,dried mushroom,,1.9500000000000002 ounce,,55.28157009375001 gram,
,,,,,,,
7.800000000000001,piece,onion,chopped,,,858.0000000000001 gram,
7.800000000000001,piece,red pepper,chopped,,,,
7.800000000000001,piece,jalapeno,seeded,,,,
7.800000000000001,tbsp,cumin,,7.800000000000001 tablespoon,115.33676529374998 milliliter,58.50000000000001 gram,
0.9750000000000001,cup,chili powder,,0.9750000000000001 cup,230.67353058749995 milliliter,143.00000000000003 gram,
11.700000000000001,tbsp,tomato paste,,11.700000000000001 tablespoon,173.00514794062497 milliliter,193.05000000000004 gram,
23.400000000000002,clove,garlic,,,,,
109.2,ounce,diced tomato,from can,109.2 ounce,,3095.7679252500006 gram,
7.800000000000001,can,black bean,,,,,
3.9000000000000004,can ,kidney bean,,,,,
3.9000000000000004,can,cannelini,,,,,
15.600000000000001,cup,vegetable stock,,15.600000000000001 cup,3690.7764893999993 milliliter,,
11.700000000000001,tbsp,liquid amino,,11.700000000000001 tablespoon,173.00514794062497 milliliter,198.9 gram,
3.9000000000000004,cup,soy curl,pulsed,3.9000000000000004 cup,922.6941223499998 milliliter,156.00000000000003 gram,
