number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
3.6666666666666665,pound,spaghetti,,3.6666666666666665 pound,,1663.1720233333335 gram
2.42,cup,water,,2.42 cup,572.5435323299998 milliliter,572.5435323299998 gram
1.21,cup,peanut butter,,1.21 cup,286.2717661649999 milliliter,312.0362251198499 gram
0.9166666666666666,cup,soy sauce,,0.9166666666666666 cup,216.87255012499995 milliliter,
0.9166666666666666,cup,rice vinegar,,0.9166666666666666 cup,216.87255012499995 milliliter,252.6910671219342 gram
11.0,tbsp,brown sugar,,11.0 tablespoon,162.65441259374995 milliliter,
7.333333333333333,tbsp,sesame seed,toasted,7.333333333333333 tablespoon,108.43627506249997 milliliter,
11.0,tsp,chili garlic sauce,,11.0 teaspoon,54.21813753124998 milliliter,
3.6666666666666665,tsp,sesame oil,,3.6666666666666665 teaspoon,18.07271251041666 milliliter,
3.6666666666666665,length,ginger,peeled,,59.65666666666666 milliliter,27.023333333333333 gram
3.6666666666666665,clove,garlic,,,,
,,scallion,,,,
