number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
17.14285714285714,tbsp,,,17.14285714285714 tablespoon,253.48739624999988 milliliter,,
1628.5714285714284,gram,onion,finely chopped,1628.5714285714284 gram,,1628.5714285714284 gram,
857.142857142857,gram,raw cashew,,857.142857142857 gram,,857.142857142857 gram,
5.7142857142857135,clove,garlic,finely chopped,,,,
11.428571428571427,pound,butternut squash,peeled and cut into .5 inch dice,11.428571428571427 pound,,5183.9128 gram,
28.57142857142857,cup,vegetable broth,,28.57142857142857 cup,6759.663899999998 milliliter,5485.714285714285 gram,
11.428571428571427,tbsp,ginger,minced,11.428571428571427 tablespoon,168.99159749999993 milliliter,76.5499737907191 gram,
11.428571428571427,tsp,cumin,,11.428571428571427 teaspoon,56.330532499999975 milliliter,28.57142857142857 gram,
11.428571428571427,tsp,coriander,,11.428571428571427 teaspoon,56.330532499999975 milliliter,19.047619047619044 gram,
5.7142857142857135,tsp,curry powder,,5.7142857142857135 teaspoon,28.165266249999988 milliliter,13.333333333333332 gram,
5.7142857142857135,tsp,turmeric,,5.7142857142857135 teaspoon,28.165266249999988 milliliter,17.14285714285714 gram,
5.7142857142857135,cup,coconut milk,,5.7142857142857135 cup,1351.9327799999994 milliliter,1188.5714285714284 gram,
5.7142857142857135,sprig,rosemary,,,,,
