number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
13.333333333333332,pound,pasta,,13.333333333333332 pound,,6047.898266666667 gram
,,,,,,
66.66666666666666,ounce,spinach,fresh,66.66666666666666 ounce,,1889.9682083333335 gram
,,,,,,
40.0,piece,pepper,roasted,,,
1999.9999999999998,gram,cashew,soaked,1999.9999999999998 gram,3082.5828859934845 milliliter,1999.9999999999998 gram
80.0,clove,garlic,,,,
26.666666666666664,cup,vegetable broth,,26.666666666666664 cup,6309.019639999998 milliliter,5119.999999999999 gram
53.33333333333333,tsp,lemon juice,,53.33333333333333 teaspoon,262.8758183333332 milliliter,270.76209288333325 gram
26.666666666666664,tsp,salt,,26.666666666666664 teaspoon,131.4379091666666 milliliter,
13.333333333333332,tsp,pepper,,13.333333333333332 teaspoon,65.7189545833333 milliliter,31.111111111111107 gram
,,,,,,
293.3333333333333,gram,basil,chopped,293.3333333333333 gram,2168.725501249999 milliliter,293.3333333333333 gram
