number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
1.5833333333333333,pound,black beand,dry,1.5833333333333333 pound,,718.1879191666668 gram,
1.5833333333333333,piece,bell pepper,"green, quartered",,186.83333333333331 milliliter,,
3.1666666666666665,piece,bay leaf,,,,,
0.7916666666666666,cup,olive oil,,0.7916666666666666 cup,187.29902056249995 milliliter,172.31509891749994 gram,
4.75,piece,bell pepper,"mixed, minced",,560.5 milliliter,,
1.5833333333333333,piece,onion,minced,,,174.16666666666666 gram,
1.5833333333333333,tbsp,cumin,,1.5833333333333333 tablespoon,23.412377570312493 milliliter,11.875 gram,
1.5833333333333333,tbsp,oregano,,1.5833333333333333 tablespoon,23.412377570312493 milliliter,4.749999999999999 gram,
0.7916666666666666,cup,garlic,minced,0.7916666666666666 cup,187.29902056249995 milliliter,,
0.3958333333333333,cup,tomato paste,,0.3958333333333333 cup,93.64951028124997 milliliter,104.5 gram,
,,salt,,,,,
