number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
3.8571428571428568,cup,oat flour,,3.8571428571428568 cup,912.5546264999997 milliliter,501.4285714285714 gram,
154.28571428571428,gram,cocoa powder,,154.28571428571428 gram,,154.28571428571428 gram,
1.9285714285714284,tsp,baking powder,,1.9285714285714284 teaspoon,9.505777359374996 milliliter,9.257142857142856 gram,
1.9285714285714284,tsp,sea salt,,1.9285714285714284 teaspoon,9.505777359374996 milliliter,10.799999999999997 gram,
7.7142857142857135,tbsp,powdered sugar,,7.7142857142857135 tablespoon,114.06932831249996 milliliter,62.67857142857142 gram,
385.71428571428567,gram,mini semi sweet chocolate chip,,385.71428571428567 gram,,385.71428571428567 gram,
771.4285714285713,gram,maple syrup,,771.4285714285713 gram,563.0865484880082 milliliter,771.4285714285713 gram,
370.2857142857142,gram,sunbutter,,370.2857142857142 gram,,370.2857142857142 gram,
3.8571428571428568,tsp,vanilla extract,,3.8571428571428568 teaspoon,19.01155471874999 milliliter,19.20167026593749 gram,
,,,,,,,
1.9285714285714284,cup ,powdered sugar,,1.9285714285714284 cup,456.27731324999985 milliliter,250.7142857142857 gram,
