number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
4.9367088607594924,can,chickpea,,,,,
2.4683544303797462,cup,chopped onion,,2.4683544303797462 cup,583.983621740506 milliliter,,
9.873417721518985,clove,garlic,,,,,
5.553797468354429,tsp,cumin,,5.553797468354429 teaspoon,27.37423226908622 milliliter,13.884493670886075 gram,
4.9367088607594924,tsp,coriander,,4.9367088607594924 teaspoon,24.332650905854415 milliliter,8.22784810126582 gram,
7.405063291139239,tbsp,tahini,,7.405063291139239 tablespoon,109.49692907634488 milliliter,103.67088607594935 gram,
2.4683544303797462,tsp,salt,,2.4683544303797462 teaspoon,12.166325452927207 milliliter,,
0.6170886075949366,tsp,pepper,,0.6170886075949366 teaspoon,3.041581363231802 milliliter,1.4398734177215187 gram,
296.20253164556954,gram,potato,"peeled, mashed, baked",296.20253164556954 gram,,296.20253164556954 gram,
1.8512658227848098,cup,parsley,,1.8512658227848098 cup,437.98771630537954 milliliter,,
8.22784810126582,tbsp,water,,8.22784810126582 tablespoon,121.66325452927208 milliliter,121.66325452927208 gram,
61.70886075949366,gram,hot sauce,,61.70886075949366 gram,,61.70886075949366 gram,
