number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
7.5,cup,green lentil,,7.5 cup,1774.4117737499996 milliliter,,
22.5,cup,vegetable broth,,22.5 cup,5323.235321249998 milliliter,4320.0 gram,
,,,,,,,
20.0,pound,potato,"peeled, chopped",20.0 pound,,9071.847400000002 gram,
5.0,cup,yogurt,,5.0 cup,1182.9411824999997 milliliter,1225.0 gram,
,,,,,,,
750.0,gram,onion,chopped,750.0 gram,,750.0 gram,
15.0,clove,garlic,minced,,,,
875.0,gram,carrot,chopped,875.0 gram,,875.0 gram,
5.0,pound,mushroom,chopped,5.0 pound,,2267.9618500000006 gram,
,,,,,,,
5.0,tsp,smoked paprika,,5.0 teaspoon,24.64460796874999 milliliter,13.333333333333332 gram,
5.0,tsp,thyme,,5.0 teaspoon,24.64460796874999 milliliter,,
,,,,,,,
10.0,tbsp,miso,,10.0 tablespoon,147.86764781249997 milliliter,210.00000000000003 gram,
5.0,oz,dried mushroom,powdered,5.0 ounce,,141.74761562500004 gram,
5.0,piece,apple,red,,,,
2.5,cup,tomato paste,,2.5 cup,591.4705912499999 milliliter,660.0000000000001 gram,
30.0,tbsp,worcestershire,,30.0 tablespoon,443.6029434374999 milliliter,,
5.0,tbsp,maple syrup,,5.0 tablespoon,73.93382390624998 milliliter,101.28933875156248 gram,
2.5,tsp,salt,,2.5 teaspoon,12.322303984374996 milliliter,,
3.75,tsp,pepper,,3.75 teaspoon,18.483455976562492 milliliter,8.75 gram,
5.0,cup,peas,,5.0 cup,1182.9411824999997 milliliter,,
,,,,,,,
,,parsley,,,,,
