number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
3.942857142857143,cup,zucchini,grated,3.942857142857143 cup,932.8336181999998 milliliter,,
1.9714285714285715,cup,walnut,,1.9714285714285715 cup,466.4168090999999 milliliter,236.5714285714286 gram,
6.571428571428571,can,black bean,,,,,
3.942857142857143,tbsp,ground flax,,3.942857142857143 tablespoon,58.30210113749999 milliliter,,
3.942857142857143,tbsp,tamari,,3.942857142857143 tablespoon,58.30210113749999 milliliter,62.96626922849999 gram,
7.885714285714286,tbsp,tomato paste,,7.885714285714286 tablespoon,116.60420227499998 milliliter,130.11428571428573 gram,
0.9857142857142858,tsp,liquid smoke,,0.9857142857142858 teaspoon,4.858508428124999 milliliter,4.435714285714286 gram,
3.942857142857143,tbsp,miso,,3.942857142857143 tablespoon,58.30210113749999 milliliter,82.80000000000001 gram,
1.9714285714285715,cup,panko,,1.9714285714285715 cup,466.4168090999999 milliliter,,
1.9714285714285715,tbsp,onion powder,,1.9714285714285715 tablespoon,29.151050568749994 milliliter,18.728571428571428 gram,
1.9714285714285715,tbsp,garlic powder,,1.9714285714285715 tablespoon,29.151050568749994 milliliter,15.77142857142857 gram,
7.885714285714286,tbsp,onion flake,,7.885714285714286 tablespoon,116.60420227499998 milliliter,,
0.9857142857142858,tsp,red pepper flake,,0.9857142857142858 teaspoon,4.858508428124999 milliliter,2.3 gram,
0.9857142857142858,tsp,ground mustard,,0.9857142857142858 teaspoon,4.858508428124999 milliliter,,
0.9857142857142858,tsp,coriander,,0.9857142857142858 teaspoon,4.858508428124999 milliliter,1.6428571428571428 gram,
0.9857142857142858,tsp,smoked paprika,,0.9857142857142858 teaspoon,4.858508428124999 milliliter,2.628571428571428 gram,
0.9857142857142858,tsp,black pepper,,0.9857142857142858 teaspoon,4.858508428124999 milliliter,,
0.6571428571428571,tsp,salt,,0.6571428571428571 teaspoon,3.239005618749999 milliliter,,
