number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
3.0,cup,cashew,,3.0 cup,709.7647094999998 milliliter,460.5 gram,
3.75,tsp,salt,,3.75 teaspoon,18.483455976562492 milliliter,,
3.0,tsp,turmeric,,3.0 teaspoon,14.786764781249996 milliliter,9.0 gram,
3.0,tsp,smoked paprika,,3.0 teaspoon,14.786764781249996 milliliter,8.0 gram,
3.0,tsp,smoked salt,,3.0 teaspoon,14.786764781249996 milliliter,,
1.5,tsp,liquid smoke,,1.5 teaspoon,7.393382390624998 milliliter,6.750000000000001 gram,
139.5,ml,apple cider vinegar,,139.5 milliliter,139.5 milliliter,170.19 gram,
111.0,ml,nutritional yeast,,111.0 milliliter,111.0 milliliter,28.150173899284304 gram,
3.0,tbsp,miso,,3.0 tablespoon,44.360294343749985 milliliter,63.0 gram,
1.5,cup,coconut milk,,1.5 cup,354.8823547499999 milliliter,311.99999999999994 gram,
,,,,,,,
2.25,cup,water,,2.25 cup,532.3235321249998 milliliter,532.3235321249998 gram,
4.5,tbsp,tapioca starch,,4.5 tablespoon,66.54044151562498 milliliter,,
2.25,tbsp,agar,,2.25 tablespoon,33.27022075781249 milliliter,,
0.495,cup,water,,0.495 cup,117.11117706749997 milliliter,117.11117706749997 gram,
