number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
9.0,cup,cashew,,9.0 cup,2129.2941284999993 milliliter,1381.5 gram,
11.25,tsp,salt,,11.25 teaspoon,55.45036792968748 milliliter,,
1.485,cup,apple cider vinegar,,1.485 cup,351.33353120249996 milliliter,428.6269080670499 gram,
1.125,cup,nutritional yeast,,1.125 cup,266.1617660624999 milliliter,67.5 gram,
9.0,tbsp,miso,,9.0 tablespoon,133.08088303124995 milliliter,189.00000000000003 gram,
4.5,cup,coconut milk,,4.5 cup,1064.6470642499996 milliliter,936.0 gram,
,,,,,,,
6.75,cup,water,,6.75 cup,1596.9705963749996 milliliter,1596.9705963749996 gram,
13.5,tbsp,tapioca starch,,13.5 tablespoon,199.62132454687494 milliliter,,
6.75,tbsp,agar,,6.75 tablespoon,99.81066227343747 milliliter,,
1.485,cup,water,,1.485 cup,351.33353120249996 milliliter,351.33353120249996 gram,
