number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
49.599999999999994,oz,strawberry,chopped,49.599999999999994 ounce,,1406.1363470000001 gram
4.133333333333333,piece,mango,chopped,,,
18.599999999999998,oz,blackberry,,18.599999999999998 ounce,,527.301130125 gram
,,,,,,
66.13333333333333,oz,strawberry,pureed,66.13333333333333 ounce,,1874.8484626666668 gram
23.249999999999996,cup,milk,,23.249999999999996 cup,5500.676498624997 milliliter,
92.99999999999999,tbsp,chia seed,,92.99999999999999 tablespoon,1375.1691246562493 milliliter,1065.6249999999998 gram
,,,,,,
32.03333333333333,tbsp,maple syrup,,32.03333333333333 tablespoon,473.6693651593748 milliliter,648.9270302683435 gram
48.05,tsp,vanilla extract,,48.05 teaspoon,236.8346825796874 milliliter,239.20302940548427 gram
