number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
3.1666666666666665,lb,black bean,rinsed,3.1666666666666665 pound,,1436.3758383333336 gram,
3.1666666666666665,piece,yellow onion,peeled,,,,
6.333333333333333,piece,jalapeno,seeded,,,,
31.666666666666664,clove,garlic,,,,,
6.333333333333333,piece,bell pepper,"red, green",,,,
3.1666666666666665,tsp,oregano,,3.1666666666666665 teaspoon,15.60825171354166 milliliter,3.166666666666666 gram,
1.5833333333333333,tsp,cumin,,1.5833333333333333 teaspoon,7.80412585677083 milliliter,3.9583333333333335 gram,
0.7916666666666666,tsp,cinnamon,,0.7916666666666666 teaspoon,3.902062928385415 milliliter,1.847222222222222 gram,
3.1666666666666665,piece,cinnamon stick,,,,,
6.333333333333333,piece,bay leaf,,,,,
11.083333333333332,cup,vegetable broth,,11.083333333333332 cup,2622.186287874999 milliliter,2127.9999999999995 gram,
,,,,,,,
0.7916666666666666,cup,beans,,0.7916666666666666 cup,187.29902056249995 milliliter,,
0.7916666666666666,cup,pot liquid,,0.7916666666666666 cup,187.29902056249995 milliliter,,
,,,,,,,
6.333333333333333,tsp,salt,,6.333333333333333 teaspoon,31.21650342708332 milliliter,,
3.1666666666666665,tbsp,sugar,,3.1666666666666665 tablespoon,46.82475514062499 milliliter,44.33333333333333 gram,
1.045,cup,lime juice,,1.045 cup,247.23470714249993 milliliter,,
