number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
6.666666666666666,tbsp,grape seed oil,,6.666666666666666 tablespoon,98.57843187499996 milliliter,,
6.666666666666666,cup,yellow onion,diced,6.666666666666666 cup,1577.2549099999994 milliliter,,
20.0,clove,garlic,,,,,
2.1999999999999997,cup,cilantro,,2.1999999999999997 cup,520.4941202999998 milliliter,87.99999999999999 gram,
6.666666666666666,piece,pepper,"red, diced",,,,
6.666666666666666,pound,dry black bean,,6.666666666666666 pound,3456.1874044494516 milliliter,3023.9491333333335 gram,
10.0,tbsp,cumin,,10.0 tablespoon,147.86764781249997 milliliter,75.0 gram,
6.666666666666666,tsp,ancho chili powder,,6.666666666666666 teaspoon,32.85947729166665 milliliter,,
6.666666666666666,tsp,smoked paprika,,6.666666666666666 teaspoon,32.85947729166665 milliliter,17.777777777777775 gram,
3.333333333333333,tsp,salt,,3.333333333333333 teaspoon,16.429738645833325 milliliter,,
26.666666666666664,cup,water,,26.666666666666664 cup,6309.019639999998 milliliter,6309.019639999998 gram,
3.333333333333333,cup,salsa verde,,3.333333333333333 cup,788.6274549999997 milliliter,,
6.666666666666666,piece,lime,juiced,,,,
