number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
4.800000000000001,cup,chopped onion,,4.800000000000001 cup,1135.6235351999999 milliliter,
6.4,piece,celery,chopped,,,326.5865064000001 gram
4.800000000000001,piece,carrot,chopped,,,
3.2,tsp,salt,,3.2 teaspoon,15.772549099999996 milliliter,
3.2,tsp,dried thyme,,3.2 teaspoon,15.772549099999996 milliliter,3.1999999999999997 gram
0.8,tsp,red pepper flake,,0.8 teaspoon,3.943137274999999 milliliter,1.866666666666667 gram
12.8,clove,garlic,chopped,,,
12.8,cup,vegetable broth,,12.8 cup,3028.3294271999994 milliliter,2457.6 gram
11.200000000000001,piece,potato,diced,,,
44.800000000000004,ounce,crushed tomato,canned,44.800000000000004 ounce,,1270.0586360000004 gram
3.2,can,kidney bean,15oz can,,,
3.2,can,cannelini bean,15oz can,,,
0.8,cup,basil,chopped,0.8 cup,189.27058919999996 milliliter,25.6 gram
3.2,bunch,kale,chopped,,,
