number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
80.0,can,crushed tomato,28oz can,,,,
40.0,cup,water,swished around the cans,40.0 cup,9463.529459999998 milliliter,9463.529459999998 gram,
560.0,clove,garlic,thinly sliced,,,,
40.0,tsp,red pepper flake,,40.0 teaspoon,197.15686374999993 milliliter,93.33333333333333 gram,
40.0,tsp,salt,IF tomatoes unsalted,40.0 teaspoon,197.15686374999993 milliliter,,
80.0,tsp,salt,If tomatoes NOT salted,80.0 teaspoon,394.31372749999986 milliliter,,
20.0,tsp,oregano,,20.0 teaspoon,98.57843187499996 milliliter,19.999999999999996 gram,
80.0,sprig,basil,,,,,
,,,,,,,
80.0,tbsp,lemon juice,,80.0 tablespoon,1182.9411824999997 milliliter,1218.4294179749998 gram,
40.0,cup,almond,blanched,40.0 cup,9463.529459999998 milliliter,,
120.0,tsp,nutritional yeast,,120.0 teaspoon,591.4705912499998 milliliter,150.0 gram,
20.0,block,tofu,firm,,,,
20.0,tsp,salt,,20.0 teaspoon,98.57843187499996 milliliter,,
,,garlic powder,,,,,
20.0,cup,water,,20.0 cup,4731.764729999999 milliliter,4731.764729999999 gram,
320.0,ounce,spinach,,320.0 ounce,,9071.847400000002 gram,
