number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
2.786709539121115,cup,cashew,,2.786709539121115 cup,659.3026954983922 milliliter,427.75991425509113 gram
11.14683815648446,cup,coconut milk,,11.14683815648446 cup,2637.2107819935686 milliliter,2318.5423365487677 gram
,,,,,,
5.57341907824223,piece,onion,diced,,,613.0760986066452 gram
22.29367631296892,clove,garlic,,,,
2.786709539121115,tbsp,salt,,2.786709539121115 tablespoon,41.20641846864951 milliliter,
,,,,,,
5.57341907824223,cup,carrot,diced,5.57341907824223 cup,1318.6053909967843 milliliter,
4.180064308681672,cup,celery,diced,4.180064308681672 cup,988.9540432475882 milliliter,
55.7341907824223,ml,cumin,,55.7341907824223 milliliter,55.7341907824223 milliliter,28.268957885785156 gram
2.786709539121115,tbsp,thyme,,2.786709539121115 tablespoon,41.20641846864951 milliliter,8.360128617363344 gram
27.86709539121115,ml,turmeric,,27.86709539121115 milliliter,27.86709539121115 milliliter,16.961374731471093 gram
5.57341907824223,can,diced tomato,,,,
4.180064308681672,cup,lentil,,4.180064308681672 cup,988.9540432475882 milliliter,886.6803079021729 gram
22.29367631296892,cup,vegetable broth,,22.29367631296892 cup,5274.421563987137 milliliter,4280.385852090032 gram
,,,,,,
16.720257234726688,cup,kale,chopped,16.720257234726688 cup,3955.8161729903527 milliliter,
0.6966773847802787,tsp,black pepper,,0.6966773847802787 teaspoon,3.4338682057207923 milliliter,1.625580564487317 gram
55.7341907824223,ml,white vinegar,,55.7341907824223 milliliter,55.7341907824223 milliliter,53.50482315112541 gram
