number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
1650.0,gram,cashew,,1650.0 gram,2543.130880944625 milliliter,1650.0 gram,
2640.0,gram,salsa,,2640.0 gram,,2640.0 gram,
1980.0,gram,plain yogurt,,1980.0 gram,,1980.0 gram,
828.6666666666666,gram,water,,828.6666666666666 gram,828.6666666666666 milliliter,828.6666666666666 gram,
14.666666666666666,tsp,smoked paprika,,14.666666666666666 teaspoon,72.29085004166664 milliliter,39.11111111111111 gram,
14.666666666666666,tsp,cumin,,14.666666666666666 teaspoon,72.29085004166664 milliliter,36.666666666666664 gram,
9.166666666666666,tsp,salt,,9.166666666666666 teaspoon,45.18178127604165 milliliter,,
2.42,cup,nutritional yeast,,2.42 cup,572.5435323299998 milliliter,145.20000000000002 gram,
,,,,,,,
102.66666666666666,tortilla,corn tortilla,cut into quarters,,,,
22.0,can,black bean,"15oz can, drained and rinsed",,,,
2640.0,gram,salsa,,2640.0 gram,,2640.0 gram,
3226.6666666666665,gram,frozen corn,,3226.6666666666665 gram,,3226.6666666666665 gram,
,,,,,,,
,,green onion,,,,,
