number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
18.0,piece,sweet potato,,,,,
3.0,cup,chopped onion,,3.0 cup,709.7647094999998 milliliter,,
3.0,cup,chopped bell pepper,red,3.0 cup,709.7647094999998 milliliter,,
6.0,cup,frozen corn,,6.0 cup,1419.5294189999995 milliliter,,
9.6,cup,quinoa,,9.6 cup,2271.2470703999993 milliliter,1920.0000000000002 gram,
8.4,can,black bean,,,,,
6.0,tbsp,chili powder,,6.0 tablespoon,88.72058868749997 milliliter,55.00000000000001 gram,
57.0,ml,cumin,,57.0 milliliter,57.0 milliliter,28.91098941007577 gram,
30.0,ml,smoked paprika,,30.0 milliliter,30.0 milliliter,16.230730896884644 gram,
30.0,ml,salt,,30.0 milliliter,30.0 milliliter,,
1.2,cup,salsa,,1.2 cup,283.9058837999999 milliliter,,
