number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
561.4035087719298,gram,red potato,"skin on, finely diced",561.4035087719298 gram,,561.4035087719298 gram,
280.7017543859649,gram,onion,finely diced,280.7017543859649 gram,,280.7017543859649 gram,
280.7017543859649,gram,bell pepper,finely diced,280.7017543859649 gram,,280.7017543859649 gram,
280.7017543859649,gram,zucchini,finely diced,280.7017543859649 gram,,280.7017543859649 gram,
5.614035087719298,clove,garlic,minced,,,,
280.7017543859649,gram,cherry tomato,quartered,280.7017543859649 gram,,280.7017543859649 gram,
0.3508771929824561,tsp,red pepper flake,,0.3508771929824561 teaspoon,1.7294461732456134 milliliter,0.8187134502923976 gram,
,,"salt, pepper",to taste,,,,
,,,,,,,
1.4035087719298245,container,extra firm tofu,16oz container,,,,
1.4035087719298245,container,firm tofu,16oz container,,,,
1.4035087719298245,cup,soy milk,,1.4035087719298245 cup,332.05366526315777 milliliter,291.9298245614035 gram,
2.807017543859649,tbsp,corn starch,,2.807017543859649 tablespoon,41.50670815789472 milliliter,28.07017543859649 gram,
8.421052631578947,tbsp,nutritional yeast,,8.421052631578947 tablespoon,124.52012447368418 milliliter,31.57894736842105 gram,
1.4035087719298245,tsp,mustard powder,,1.4035087719298245 teaspoon,6.917784692982454 milliliter,,
1.4035087719298245,tsp,thyme,,1.4035087719298245 teaspoon,6.917784692982454 milliliter,,
1.4035087719298245,tsp,marjoram,,1.4035087719298245 teaspoon,6.917784692982454 milliliter,,
1.4035087719298245,tsp,basil,,1.4035087719298245 teaspoon,6.917784692982454 milliliter,0.935672514619883 gram,
1.4035087719298245,tsp,garlic powder,,1.4035087719298245 teaspoon,6.917784692982454 milliliter,3.742690058479532 gram,
1.4035087719298245,tsp,onion powder,,1.4035087719298245 teaspoon,6.917784692982454 milliliter,4.444444444444444 gram,
1.4035087719298245,tsp,salt,,1.4035087719298245 teaspoon,6.917784692982454 milliliter,,
0.7017543859649122,tsp,turmeric,,0.7017543859649122 teaspoon,3.458892346491227 milliliter,2.1052631578947367 gram,
0.3508771929824561,tsp,black pepper,,0.3508771929824561 teaspoon,1.7294461732456134 milliliter,,
