number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
59.85503857844283,gram,flax,,59.85503857844283 gram,,59.85503857844283 gram,
317.97989244797753,gram,water,,317.97989244797753 gram,317.97989244797753 milliliter,317.97989244797753 gram,
364.741641337386,gram,oat,,364.741641337386 gram,,364.741641337386 gram,
299.27519289221414,gram,almond flour,,299.27519289221414 gram,,299.27519289221414 gram,
16.834229600187047,gram,cinnamon,,16.834229600187047 gram,35.56054191021743 milliliter,16.834229600187047 gram,
13.09328968903437,gram,sea salt,,13.09328968903437 gram,11.52424969312602 milliliter,13.09328968903437 gram,
11.222819733458032,gram,baking soda,,11.222819733458032 gram,11.52424969312602 milliliter,11.222819733458032 gram,
93.52349777881692,gram,shredded coconut,,93.52349777881692 gram,,93.52349777881692 gram,
149.63759644610707,gram,pumpkin seed,,149.63759644610707 gram,,149.63759644610707 gram,
121.580547112462,gram,pecan,chopped,121.580547112462 gram,239.70439361702117 milliliter,121.580547112462 gram,
187.04699555763384,gram,mini chocolate chip,,187.04699555763384 gram,184.38799509001626 milliliter,187.04699555763384 gram,
271.21814355856907,gram,applesauce,,271.21814355856907 gram,302.50167651624963 milliliter,271.21814355856907 gram,
252.5134440028057,gram,almond butter,,252.5134440028057 gram,233.3660562858019 milliliter,252.5134440028057 gram,
374.09399111526767,gram,maple syrup,,374.09399111526767 gram,273.06130738340704 milliliter,374.09399111526767 gram,
26.18657937806874,gram,vanilla,,26.18657937806874 gram,,26.18657937806874 gram,
