number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
2400.0,g,polenta,,2400.0 gram,,2400.0 gram
3200.0,ml,coconut milk,"from can, full fat",3200.0 milliliter,3200.0 milliliter,2813.3266887933382 gram
4800.0,ml,vegetable broth,,4800.0 milliliter,4800.0 milliliter,3895.3754152523143 gram
48.0,tbsp,nutritional yeast,,48.0 tablespoon,709.7647094999998 milliliter,180.0 gram
21.28,tbsp,coconut oil,,21.28 tablespoon,314.6623545449999 milliliter,297.92 gram
8.0,piece,onion,,,,880.0 gram
4256.0,g,mushroom,sliced,4256.0 gram,,4256.0 gram
42.56,clove,garlic,,,,
21.28,tbsp,liquid amino,,21.28 tablespoon,314.6623545449999 milliliter,361.76 gram
42.56,cup,collard green,,42.56 cup,10069.195345439997 milliliter,
16.0,can,cannelini bean,,,,
,,salt,,,,
,,pepper,,,,
