number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
4.08,piece,onion,chopped,,,448.8 gram,
2.04,cup,carrot,chopped,2.04 cup,482.6400024599999 milliliter,,
2.04,cup,parsnips,chopped,2.04 cup,482.6400024599999 milliliter,,
4.08,cup,celery,chopped,4.08 cup,965.2800049199998 milliliter,,
,,,,,,,
8.16,cup,mushroom,chopped,8.16 cup,1930.5600098399996 milliliter,,
8.16,cup,red potato,"chopped, skin on",8.16 cup,1930.5600098399996 milliliter,,
,,,,,,,
2.04,tsp,dried thyme,,2.04 teaspoon,10.055000051249998 milliliter,2.0399999999999996 gram,
2.04,tsp,dried rosemary,,2.04 teaspoon,10.055000051249998 milliliter,,
2.04,tsp,dried marjoram,,2.04 teaspoon,10.055000051249998 milliliter,,
,,,,,,,
1.02,cup,brown rice flour,,1.02 cup,241.32000122999995 milliliter,,
,,,,,,,
14.280000000000001,cup,vegetable broth,,14.280000000000001 cup,3378.4800172199994 milliliter,2741.7599999999998 gram,
1.02,cup,red wine,,1.02 cup,241.32000122999995 milliliter,,
2.04,ounce,dried mushroom,ground,2.04 ounce,,57.83302717500001 gram,
2.04,cup,split red lentil,,2.04 cup,482.6400024599999 milliliter,,
1.02,cup,liquid amino,,1.02 cup,241.32000122999995 milliliter,277.44 gram,
