number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
1240.0,g,cucumber,sliced,1240.0 gram,,1240.0 gram
1550.0,g,carrot,matchsticked,1550.0 gram,,1550.0 gram
4650.0,g,brown rice,,4650.0 gram,,4650.0 gram
1240.0,g,spinach,,1240.0 gram,,1240.0 gram
,,,,,,
62.0,oz,mushroom,sliced,62.0 ounce,,1757.6704337500003 gram
7.75,tsp,liquid amino,,7.75 teaspoon,38.199142351562486 milliliter,43.916666666666664 gram
,,,,,,
7.75,cup,cabbage,sliced,7.75 cup,1833.5588328749996 milliliter,
7.75,cup,kimchi,chopped,7.75 cup,1833.5588328749996 milliliter,
1.9375,cup,mayonnaise,,1.9375 cup,458.3897082187499 milliliter,
7.75,tsp,rice wine vinegar,,7.75 teaspoon,38.199142351562486 milliliter,
,,,,,,
3.875,cup,liquid amino,,3.875 cup,916.7794164374998 milliliter,1054.0 gram
1.9375,cup,brown sugar,,1.9375 cup,458.3897082187499 milliliter,
23.25,clove,garlic,,,,
7.75,tbsp,ginger,,7.75 tablespoon,114.59742705468747 milliliter,51.91045097683139 gram
7.75,tbsp,sriracha,,7.75 tablespoon,114.59742705468747 milliliter,131.75 gram
7.75,tbsp,rice wine vinegar,,7.75 tablespoon,114.59742705468747 milliliter,
7.75,tbsp,sesame oil,,7.75 tablespoon,114.59742705468747 milliliter,
15.5,tsp,miso,,15.5 teaspoon,76.39828470312497 milliliter,108.5 gram
7.75,tbsp,cornstarch,,7.75 tablespoon,114.59742705468747 milliliter,
1.9375,cup,water,,1.9375 cup,458.3897082187499 milliliter,458.3897082187499 gram
,,,,,,
62.0,oz,tempeh,,62.0 ounce,,1757.6704337500003 gram
3.875,cup,water,,3.875 cup,916.7794164374998 milliliter,916.7794164374998 gram
7.75,tbsp,liquid amino,,7.75 tablespoon,114.59742705468747 milliliter,131.75 gram
7.75,tbsp,oil,,7.75 tablespoon,114.59742705468747 milliliter,
7.75,tbsp,sriracha,,7.75 tablespoon,114.59742705468747 milliliter,131.75 gram
7.75,tbsp,miso,,7.75 tablespoon,114.59742705468747 milliliter,162.75 gram
7.75,tbsp,rice wine vinegar,,7.75 tablespoon,114.59742705468747 milliliter,
7.75,clove,garlic,,,,
15.5,tsp,ginger,,15.5 teaspoon,76.39828470312497 milliliter,34.606967317887595 gram
3.875,cup,bread crumb,,3.875 cup,916.7794164374998 milliliter,
