number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
10.0,tbsp,chili powder,,10.0 tablespoon,147.86764781249997 milliliter,91.66666666666667 gram,
6.666666666666666,tbsp,garlic powder,,6.666666666666666 tablespoon,98.57843187499996 milliliter,53.33333333333333 gram,
13.333333333333332,tsp,oregano,,13.333333333333332 teaspoon,65.7189545833333 milliliter,13.33333333333333 gram,
13.333333333333332,tsp,paprika,,13.333333333333332 teaspoon,65.7189545833333 milliliter,31.111111111111107 gram,
13.333333333333332,tsp,cumin,,13.333333333333332 teaspoon,65.7189545833333 milliliter,33.333333333333336 gram,
6.666666666666666,tsp,thyme,,6.666666666666666 teaspoon,32.85947729166665 milliliter,,
6.666666666666666,tsp,onion powder,,6.666666666666666 teaspoon,32.85947729166665 milliliter,21.111111111111107 gram,
6.666666666666666,tsp,coriander,,6.666666666666666 teaspoon,32.85947729166665 milliliter,11.11111111111111 gram,
3.333333333333333,tsp,pepper,,3.333333333333333 teaspoon,16.429738645833325 milliliter,7.777777777777777 gram,
3.333333333333333,tsp,cinnamon,,3.333333333333333 teaspoon,16.429738645833325 milliliter,7.777777777777777 gram,
1.6666666666666665,tsp,allspice,,1.6666666666666665 teaspoon,8.214869322916662 milliliter,,
1.6666666666666665,tsp,cayenne,,1.6666666666666665 teaspoon,8.214869322916662 milliliter,4.444444444444444 gram,
1.6666666666666665,tsp,turmeric,,1.6666666666666665 teaspoon,8.214869322916662 milliliter,5.0 gram,
,,,,,,,
11.666666666666666,cup,soy curl crumb,,11.666666666666666 cup,2760.196092499999 milliliter,,
13.333333333333332,cup,vegetable broth,boiling,13.333333333333332 cup,3154.509819999999 milliliter,2559.9999999999995 gram,
13.333333333333332,tbsp,vegetable oil,,13.333333333333332 tablespoon,197.15686374999993 milliliter,,
20.0,tbsp,tomato paste,,20.0 tablespoon,295.73529562499994 milliliter,330.00000000000006 gram,
20.0,tbsp,soy sauce,,20.0 tablespoon,295.73529562499994 milliliter,,
16.666666666666664,tbsp,apple cider vinegar,,16.666666666666664 tablespoon,246.4460796874999 milliliter,300.66421721874985 gram,
,,liquid smoke,,,,,
,,salt,,,,,
