number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
93.33333333333333,ounce,pasta,,93.33333333333333 ounce,,2645.955491666667 gram,
6.666666666666666,package,tempeh,,,,,
13.333333333333332,tbsp,tamari,,13.333333333333332 tablespoon,197.15686374999993 milliliter,212.92941284999995 gram,
0.9523809523809523,cup,sesame seed,,0.9523809523809523 cup,225.32212999999993 milliliter,,
19.047619047619047,piece,scallion,chopped,,,,
,,,,,,,
2.380952380952381,cup,tahini,,2.380952380952381 cup,563.3053249999998 milliliter,533.3333333333334 gram,
2.380952380952381,cup,almond butter,,2.380952380952381 cup,563.3053249999998 milliliter,609.5238095238095 gram,
2.380952380952381,cup,tamari,,2.380952380952381 cup,563.3053249999998 milliliter,608.3697509999998 gram,
2.380952380952381,cup,vegetable broth,,2.380952380952381 cup,563.3053249999998 milliliter,457.1428571428571 gram,
4.761904761904762,tsp,ground ginger,,4.761904761904762 teaspoon,23.471055208333325 milliliter,7.936507936507936 gram,
4.761904761904762,tsp,onion powder,,4.761904761904762 teaspoon,23.471055208333325 milliliter,15.079365079365077 gram,
9.523809523809524,clove,garlic,minced,,,,
9.523809523809524,tbsp,maple syrup,,9.523809523809524 tablespoon,140.82633124999995 milliliter,192.93207381249997 gram,
19.047619047619047,tbsp,siracha,,19.047619047619047 tablespoon,281.6526624999999 milliliter,,
19.047619047619047,tbsp,rice wine vinegar,,19.047619047619047 tablespoon,281.6526624999999 milliliter,,
