number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
4.651162790697675,cup,powdered sugar,,4.651162790697675 cup,1100.4104023255811 milliliter,604.6511627906976 gram
4.651162790697675,cup,sugar,,4.651162790697675 cup,1100.4104023255811 milliliter,1041.860465116279 gram
4.651162790697675,cup,butter,,4.651162790697675 cup,1100.4104023255811 milliliter,
4.651162790697675,cup,canola oil,,4.651162790697675 cup,1100.4104023255811 milliliter,
1.1627906976744187,cup,applesauce,,1.1627906976744187 cup,275.1026005813953 milliliter,246.6525722339676 gram
9.30232558139535,tsp,vanilla extract,,9.30232558139535 teaspoon,45.85043343023255 milliliter,46.308937764534875 gram
23.255813953488374,cup,flour,,23.255813953488374 cup,5502.052011627906 milliliter,
4.651162790697675,tsp,baking soda,,4.651162790697675 teaspoon,22.925216715116274 milliliter,22.325581395348834 gram
4.651162790697675,tsp,cream of tarter,,4.651162790697675 teaspoon,22.925216715116274 milliliter,
4.651162790697675,tsp,salt,,4.651162790697675 teaspoon,22.925216715116274 milliliter,
13.953488372093023,tsp,lemon zest,,13.953488372093023 teaspoon,68.77565014534882 milliliter,
,,,,,,
16.27906976744186,cup,powdered sugar,,16.27906976744186 cup,3851.436408139534 milliliter,2116.2790697674423 gram
1.1627906976744187,cup,coconut milk,,1.1627906976744187 cup,275.1026005813953 milliliter,241.8604651162791 gram
4.651162790697675,tbsp,blue agave,,4.651162790697675 tablespoon,68.77565014534882 milliliter,97.67441860465118 gram
4.651162790697675,tsp,vanilla extract,,4.651162790697675 teaspoon,22.925216715116274 milliliter,23.154468882267437 gram
4.651162790697675,tsp,almond extract,,4.651162790697675 teaspoon,22.925216715116274 milliliter,
2.3255813953488373,tsp,butter,,2.3255813953488373 teaspoon,11.462608357558137 milliliter,
,,salt,,,,
