number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
26.666666666666664,cup,quinoa,,26.666666666666664 cup,6309.019639999998 milliliter,5333.333333333333 gram
40.0,tbsp,lemon juice,,40.0 tablespoon,591.4705912499999 milliliter,609.2147089874999 gram
3.333333333333333,cup,red onion,finely chopped,3.333333333333333 cup,788.6274549999997 milliliter,
26.666666666666664,tsp,cumin,,26.666666666666664 teaspoon,131.4379091666666 milliliter,66.66666666666667 gram
16.666666666666664,tsp,salt,,16.666666666666664 teaspoon,82.14869322916662 milliliter,
6.666666666666666,cup,olive oil,,6.666666666666666 cup,1577.2549099999994 milliliter,1451.0745171999995 gram
13.333333333333332,bunch,kale,finely chopped,,,
26.666666666666664,piece,tomato,,,,
6.666666666666666,cup,mint leaf,torn,6.666666666666666 cup,1577.2549099999994 milliliter,
6.666666666666666,piece,cucumber,,,,
,,pepper,,,,
