number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
11.0,block,tofu,,,,,
,,,,,,,
22.0,cup,water,,22.0 cup,5204.9412029999985 milliliter,5204.9412029999985 gram,
44.0,tbsp,rice wine vinegar,,44.0 tablespoon,650.6176503749998 milliliter,,
7.315,cup,liquid amino,,7.315 cup,1730.6429499974997 milliliter,1989.68 gram,
7.315,cup,coconut sugar,grated,7.315 cup,1730.6429499974997 milliliter,,
22.0,tbsp,maple syrup,,22.0 tablespoon,325.3088251874999 milliliter,445.67309050687487 gram,
22.0,tbsp,ginger,,22.0 tablespoon,325.3088251874999 milliliter,147.35869954713425 gram,
66.0,clove,garlic,,,,,
,,,,,,,
44.0,tbsp,corn starch,,44.0 tablespoon,650.6176503749998 milliliter,440.0 gram,
5.5,cup,cold water,,5.5 cup,1301.2353007499996 milliliter,,
