number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
5.4,cup,quinoa,,5.4 cup,1277.5764770999997 milliliter,1080.0 gram
10.125,cup,red cabbage,shredded,10.125 cup,2395.4558945624995 milliliter,
6.75,piece,carrot,chopped,,,
6.75,piece,bell pepper,,,,
13.5,piece,green onion,,,,
2.7,cup,cilantro,,2.7 cup,638.7882385499998 milliliter,108.00000000000001 gram
3.375,cup,cashew,roasted,3.375 cup,798.4852981874998 milliliter,518.0625 gram
2.7,cup,edamame,,2.7 cup,638.7882385499998 milliliter,
2.7,cup,cucumber,chopped,2.7 cup,638.7882385499998 milliliter,
2.7,cup,broccoli,,2.7 cup,638.7882385499998 milliliter,
,,,,,,
810.0,gram,kale,shredded,810.0 gram,,810.0 gram
540.0,gram,red cabbage,shredded,540.0 gram,,540.0 gram
405.0,gram,carrot,shredded,405.0 gram,,405.0 gram
27.0,ml,peanut sauce,,27.0 milliliter,27.0 milliliter,
,,,,,,
27.0,piece,peanut sauce,4 oz container,,,
