number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
2191.780821917808,gram,tofu,drained,2191.780821917808 gram,,2191.780821917808 gram
10.95890410958904,tbsp,miso,,10.95890410958904 tablespoon,162.04673732876708 milliliter,230.13698630136986 gram
5.47945205479452,piece,lemon,juiced,,,
1.36986301369863,cup,apple cider vinegar,,1.36986301369863 cup,324.09347465753416 milliliter,395.3940390821916 gram
5.47945205479452,tbsp,olive oil,,5.47945205479452 tablespoon,81.02336866438354 milliliter,74.54149917123286 gram
16.43835616438356,tbsp,water,,16.43835616438356 tablespoon,243.0701059931506 milliliter,243.0701059931506 gram
10.95890410958904,tbsp,nutritional yeast,,10.95890410958904 tablespoon,162.04673732876708 milliliter,41.0958904109589 gram
5.47945205479452,tbsp,oregano,,5.47945205479452 tablespoon,81.02336866438354 milliliter,16.43835616438356 gram
2.73972602739726,tsp,garlic powder,,2.73972602739726 teaspoon,13.503894777397255 milliliter,7.305936073059359 gram
2.73972602739726,tsp,salt,,2.73972602739726 teaspoon,13.503894777397255 milliliter,
,,pepper,,,,
,,red pepper flake,,,,
