number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
1066.6666666666665,gram,onion,chopped,1066.6666666666665 gram,,1066.6666666666665 gram,
1066.6666666666665,gram,carrot,thinly sliced,1066.6666666666665 gram,,1066.6666666666665 gram,
91.42857142857142,gram,garlic,minced,91.42857142857142 gram,,91.42857142857142 gram,
5485.714285714285,gram,tomato puree,,5485.714285714285 gram,,5485.714285714285 gram,
15.238095238095237,cup,vegetable broth,,15.238095238095237 cup,3605.154079999999 milliliter,2925.7142857142853 gram,
3.8095238095238093,tbsp,italian seasoning,,3.8095238095238093 tablespoon,56.33053249999998 milliliter,11.428571428571427 gram,
3.8095238095238093,tsp,salt,,3.8095238095238093 teaspoon,18.77684416666666 milliliter,,
1.9047619047619047,tsp,black pepper,,1.9047619047619047 teaspoon,9.38842208333333 milliliter,,
152.38095238095238,gram,maple syrup,,152.38095238095238 gram,111.22697254084115 milliliter,152.38095238095238 gram,
3.8095238095238093,cup,cashew,,3.8095238095238093 cup,901.2885199999997 milliliter,584.7619047619047 gram,
76.19047619047619,gram,basil,,76.19047619047619 gram,563.3053249999998 milliliter,76.19047619047619 gram,
