number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
80.0,cup,riced cauliflower,,80.0 cup,18927.058919999996 milliliter,,
40.0,cup,diced mushroom,,40.0 cup,9463.529459999998 milliliter,,
10.0,cup,walnut,superfinely chopped,10.0 cup,2365.8823649999995 milliliter,1200.0 gram,
80.0,tbsp,tamari,,80.0 tablespoon,1182.9411824999997 milliliter,1277.5764770999997 gram,
40.0,tbsp,italian seasoning,,40.0 tablespoon,591.4705912499999 milliliter,119.99999999999999 gram,
80.0,tsp,paprika,,80.0 teaspoon,394.31372749999986 milliliter,186.66666666666666 gram,
80.0,cup,onion,finely diced,80.0 cup,18927.058919999996 milliliter,,
2126.6666666666665,gram,celery,finely diced,2126.6666666666665 gram,,2126.6666666666665 gram,
2919.9999999999995,gram,carrot,shredded,2919.9999999999995 gram,,2919.9999999999995 gram,
879.9999999999999,gram,garlic,minced,879.9999999999999 gram,,879.9999999999999 gram,
40.0,cup,red wine,,40.0 cup,9463.529459999998 milliliter,,
1120.0,oz,canned tomato,,1120.0 ounce,,31751.465900000007 gram,
239.99999999999997,oz,tomato paste,,239.99999999999997 ounce,6097.421528872471 milliliter,6803.88555 gram,
40.0,cup,soy milk,,40.0 cup,9463.529459999998 milliliter,8320.0 gram,
10.0,cup,basil,,10.0 cup,2365.8823649999995 milliliter,320.0 gram,
40.0,tbsp,oregano,,40.0 tablespoon,591.4705912499999 milliliter,119.99999999999999 gram,
40.0,tsp,sage,,40.0 teaspoon,197.15686374999993 milliliter,,
10.0,tsp,salt,,10.0 teaspoon,49.28921593749998 milliliter,,
10.0,tsp,pepper,,10.0 teaspoon,49.28921593749998 milliliter,23.333333333333332 gram,
10.0,tsp,red pepper flakes,,10.0 teaspoon,49.28921593749998 milliliter,23.333333333333332 gram,
10.0,tsp,nutmeg,,10.0 teaspoon,49.28921593749998 milliliter,23.333333333333332 gram,
80.0,tbsp,nutritional yeast,,80.0 tablespoon,1182.9411824999997 milliliter,300.0 gram,
