number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
6.666666666666666,cup,almond flour,superfine,6.666666666666666 cup,1577.2549099999994 milliliter,,
0.8333333333333333,cup,cornstarch,,0.8333333333333333 cup,197.15686374999993 milliliter,,
6.666666666666666,tbsp,maple syrup,,6.666666666666666 tablespoon,98.57843187499996 milliliter,135.05245166874997 gram,
,,,,,,,
6.666666666666666,cup,pumpkin puree,,6.666666666666666 cup,1577.2549099999994 milliliter,1600.0 gram,
1.6666666666666665,cup,maple syrup,,1.6666666666666665 cup,394.31372749999986 milliliter,540.2098066749999 gram,
6.666666666666666,tbsp,cornstarch,,6.666666666666666 tablespoon,98.57843187499996 milliliter,,
0.8333333333333333,cup,milk,almond or cashew,0.8333333333333333 cup,197.15686374999993 milliliter,,
3.333333333333333,tsp,cinnamon,,3.333333333333333 teaspoon,16.429738645833325 milliliter,7.777777777777777 gram,
3.333333333333333,tsp,ground ginger,,3.333333333333333 teaspoon,16.429738645833325 milliliter,5.555555555555555 gram,
1.6666666666666665,tsp,nutmeg,,1.6666666666666665 teaspoon,8.214869322916662 milliliter,3.8888888888888884 gram,
,,,,,,,
3.333333333333333,cup,pecan,,3.333333333333333 cup,788.6274549999997 milliliter,400.0 gram,
3.333333333333333,tbsp,maple syrup,,3.333333333333333 tablespoon,49.28921593749998 milliliter,67.52622583437498 gram,
6.666666666666666,tbsp,sugar,,6.666666666666666 tablespoon,98.57843187499996 milliliter,93.33333333333333 gram,
3.333333333333333,tsp,vanilla extract,,3.333333333333333 teaspoon,16.429738645833325 milliliter,16.59403603229166 gram,
