number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
10.0,piece,banana,,,,,
20.0,tbsp,maple syrup,,20.0 tablespoon,295.73529562499994 milliliter,405.15735500624993 gram,
8.75,cup,oat,,8.75 cup,2070.1470693749993 milliliter,,
5.0,tsp,baking powder,,5.0 teaspoon,24.64460796874999 milliliter,24.0 gram,
5.0,tsp,cinnamon,,5.0 teaspoon,24.64460796874999 milliliter,11.666666666666666 gram,
1.25,tso,salt,,,,,
15.0,tbsp,chopped pecan,,15.0 tablespoon,221.80147171874995 milliliter,,
10.0,tbsp,shredded coconut,,10.0 tablespoon,147.86764781249997 milliliter,,
5.0,cup,milk,,5.0 cup,1182.9411824999997 milliliter,,
5.0,tsp,coconut sugar,,5.0 teaspoon,24.64460796874999 milliliter,,
